event_ts_min,ts_min_bignt,room,timestamp,co2,light,temp,humidity,pir
2013-08-23 23:10:00,1377299400,656A,1377299436.0,599.5,176.5,24.375,49.955,30.0
2013-08-23 23:10:00,1377299400,666,1377299433.0,451.3333333333333,149.66666666666666,24.09,49.56999999999999,0.0
2013-08-23 23:10:00,1377299400,726,1377299425.0,469.0,3.3333333333333335,24.548333333333332,48.13999999999999,0.0
2013-08-23 23:10:00,1377299400,748,1377299432.0,522.2,4.4,23.228,50.396,0.0
2013-08-23 23:11:00,1377299460,419,1377299474.6666667,708.6666666666666,140.66666666666666,23.426666666666666,53.01,29.0
2013-08-23 23:11:00,1377299460,666,1377299493.0,455.0,149.33333333333334,24.08,49.605,0.0
2013-08-23 23:11:00,1377299460,726,1377299485.0,472.0,3.1666666666666665,24.545,48.15333333333333,0.0
2013-08-23 23:11:00,1377299460,748,1377299487.0,523.6666666666666,3.8333333333333335,23.233333333333334,50.415,0.0
2013-08-23 23:12:00,1377299520,666,1377299553.0,465.3333333333333,152.0,24.069999999999997,49.64166666666667,0.0
2013-08-23 23:12:00,1377299520,726,1377299545.0,458.3333333333333,3.3333333333333335,24.548333333333332,48.14666666666667,0.0
2013-08-23 23:12:00,1377299520,748,1377299547.0,521.0,4.666666666666667,23.235,50.435,0.0
2013-08-23 23:13:00,1377299580,419,1377299608.0,710.6666666666666,143.66666666666666,23.453333333333333,52.99,29.666666666666668
2013-08-23 23:13:00,1377299580,666,1377299613.0,459.1666666666667,152.5,24.061666666666667,49.665,0.0
2013-08-23 23:13:00,1377299580,726,1377299605.0,463.3333333333333,3.6666666666666665,24.543333333333333,48.15333333333333,0.0
2013-08-23 23:13:00,1377299580,748,1377299607.0,520.5,4.666666666666667,23.226666666666663,50.445,0.0
2013-08-23 23:14:00,1377299640,419,1377299698.0,677.0,144.0,23.46,52.94,30.0
2013-08-23 23:14:00,1377299640,666,1377299673.0,457.3333333333333,152.5,24.05333333333333,49.68,0.0
2013-08-23 23:14:00,1377299640,726,1377299665.0,463.3333333333333,3.6666666666666665,24.536666666666665,48.165,0.0
2013-08-23 23:14:00,1377299640,748,1377299667.0,521.8333333333334,4.666666666666667,23.226666666666663,50.445,0.0
2013-08-23 23:15:00,1377299700,419,1377299728.0,684.6,143.6,245.78599999999997,52.93399999999999,28.6
2013-08-23 23:15:00,1377299700,666,1377299733.0,467.3333333333333,152.0,24.05,49.705000000000005,0.0
2013-08-23 23:15:00,1377299700,726,1377299725.0,462.5,3.3333333333333335,24.541666666666668,48.16,0.0
2013-08-23 23:15:00,1377299700,748,1377299727.0,520.8333333333334,4.666666666666667,23.223333333333333,50.45000000000001,0.0
2013-08-23 23:16:00,1377299760,419,1377299803.0,689.0,144.5,23.47,52.94,28.5
2013-08-23 23:16:00,1377299760,666,1377299793.0,468.1666666666667,151.66666666666666,24.03833333333333,49.72,0.0
2013-08-23 23:16:00,1377299760,726,1377299785.0,466.8333333333333,3.1666666666666665,24.540000000000003,48.15833333333333,0.0
2013-08-23 23:16:00,1377299760,748,1377299787.0,528.1666666666666,5.0,23.226666666666663,50.45000000000001,0.0
2013-08-23 23:17:00,1377299820,419,1377299849.6666667,678.6666666666666,143.66666666666666,208.74,52.97,30.0
2013-08-23 23:17:00,1377299820,666,1377299853.0,457.3333333333333,150.83333333333334,24.02,49.745000000000005,0.0
2013-08-23 23:17:00,1377299820,726,1377299845.0,459.1666666666667,3.3333333333333335,24.531666666666666,48.16,0.0
2013-08-23 23:17:00,1377299820,748,1377299850.0,537.2,4.8,23.23,50.45,0.0
2013-08-23 23:18:00,1377299880,419,1377299930.5,675.5,143.5,23.48,52.97,30.0
2013-08-23 23:18:00,1377299880,666,1377299913.0,465.0,149.83333333333334,24.018333333333334,49.79,0.0
2013-08-23 23:18:00,1377299880,726,1377299905.0,477.8333333333333,3.3333333333333335,24.525000000000002,48.169999999999995,0.0
2013-08-23 23:18:00,1377299880,748,1377299904.0,527.4,4.8,23.222,50.48,0.0
2013-08-23 23:19:00,1377299940,419,1377299965.0,687.8,143.4,23.488,52.952,26.8
2013-08-23 23:19:00,1377299940,666,1377299973.0,460.8333333333333,148.83333333333334,24.003333333333334,49.803333333333335,0.0
2013-08-23 23:19:00,1377299940,726,1377299965.0,464.6666666666667,2.8333333333333335,24.525000000000002,48.169999999999995,0.0
2013-08-23 23:19:00,1377299940,748,1377299967.0,538.8333333333334,5.0,23.221666666666664,50.48,0.0
2013-08-23 23:20:00,1377300000,419,1377300029.0,699.4,142.0,23.494,52.964,25.0
2013-08-23 23:20:00,1377300000,666,1377300033.0,472.0,146.66666666666666,23.996666666666666,49.830000000000005,0.0
2013-08-23 23:20:00,1377300000,726,1377300025.0,461.5,3.6666666666666665,24.521666666666665,48.17499999999999,0.0
2013-08-23 23:20:00,1377300000,748,1377300027.0,526.6666666666666,4.666666666666667,23.218333333333334,50.495,0.0
2013-08-23 23:21:00,1377300060,419,1377300093.0,716.5,144.5,23.5,52.985,28.5
2013-08-23 23:21:00,1377300060,666,1377300093.0,475.1666666666667,146.83333333333334,23.981666666666666,49.85999999999999,0.0
2013-08-23 23:21:00,1377300060,726,1377300085.0,464.3333333333333,3.8333333333333335,24.52333333333333,48.17499999999999,0.0
2013-08-23 23:21:00,1377300060,748,1377300087.0,527.8333333333334,5.0,23.21666666666667,50.5,0.0
2013-08-23 23:22:00,1377300120,419,1377300152.0,725.4,144.4,23.502000000000002,53.0,29.6
2013-08-23 23:22:00,1377300120,648,1377300174.0,209.0,189.0,23.27,50.58,30.0
2013-08-23 23:22:00,1377300120,666,1377300153.0,470.6666666666667,146.16666666666666,23.973333333333333,49.879999999999995,0.0
2013-08-23 23:22:00,1377300120,726,1377300145.0,453.6666666666667,3.5,24.52,48.165,0.0
2013-08-23 23:22:00,1377300120,748,1377300142.0,534.8,4.6,23.218,50.51,0.0
2013-08-23 23:22:00,1377300120,776,1377300174.0,671.0,103.0,24.64,48.9,0.0
2013-08-23 23:23:00,1377300180,419,1377300220.5,716.0,145.25,23.5175,53.0,29.5
2013-08-23 23:23:00,1377300180,666,1377300213.0,472.8333333333333,145.66666666666666,23.956666666666667,49.90833333333333,0.0
2013-08-23 23:23:00,1377300180,726,1377300205.0,459.8333333333333,3.5,24.52,48.165,0.0
